month,hptb
2017-01,1223
2017-02,1340
2017-03,1495
2017-04,1309
2017-05,1445
2017-06,1161
2017-07,1236
2017-08,1196
2017-09,1172
2017-10,953
2017-11,986
2017-12,941
2018-01,1340
2018-02,1421
2018-03,1648
2018-04,1587
2018-05,1760
2018-06,1617
2018-07,1476
2018-08,1435
2018-09,1115
2018-10,1116
2018-11,1068
2018-12,1035
2019-01,1464
2019-02,1264
2019-03,1696
2019-04,1757
2019-05,1758
2019-06,1346
2019-07,1672
2019-08,1283
2019-09,1298
2019-10,1171
2019-11,1566
2019-12,1282
