time,confirmed
01-01-2021,10306393
02-01-2021,10324537
03-01-2021,10341215
04-01-2021,10357493
05-01-2021,10375402
06-01-2021,10395874
07-01-2021,10413997
08-01-2021,10432450
09-01-2021,10451270
10-01-2021,10467356
11-01-2021,10479837
12-01-2021,10495740
13-01-2021,10512755
14-01-2021,10528432
15-01-2021,10543587
16-01-2021,10558637
17-01-2021,10572599
18-01-2021,10582586
19-01-2021,10596373
20-01-2021,10611652
21-01-2021,10626147
22-01-2021,10640470
23-01-2021,10655366
24-01-2021,10668598
25-01-2021,10677696
26-01-2021,10690429
27-01-2021,10701985
28-01-2021,10720897
29-01-2021,10733951
30-01-2021,10747024
31-01-2021,10758551
01-02-2021,10767130
02-02-2021,10778131
03-02-2021,10791056
04-02-2021,10803457
05-02-2021,10815168
06-02-2021,10827237
07-02-2021,10839023
08-02-2021,10847738
09-02-2021,10858469
10-02-2021,10871008
11-02-2021,10880361
12-02-2021,10892498
13-02-2021,10904696
14-02-2021,10916402
15-02-2021,10925488
16-02-2021,10937080
17-02-2021,10949942
18-02-2021,10963179
19-02-2021,10977095
20-02-2021,10991014
21-02-2021,11005292
22-02-2021,11015786
23-02-2021,11029468
24-02-2021,11046398
25-02-2021,11062997
26-02-2021,11079559
27-02-2021,11096364
28-02-2021,11111978
01-03-2021,11124248
02-03-2021,11139246
03-03-2021,11156671
04-03-2021,11173495
05-03-2021,11191819
06-03-2021,11210543
07-03-2021,11229193
08-03-2021,11244546
09-03-2021,11262419
10-03-2021,11285270
11-03-2021,11308568
12-03-2021,11333413
13-03-2021,11358567
14-03-2021,11385080
15-03-2021,11409517
16-03-2021,11438386
17-03-2021,11474224
18-03-2021,11513911
19-03-2021,11554817
20-03-2021,11598632
21-03-2021,11645641
22-03-2021,11686277
23-03-2021,11733516
24-03-2021,11786935
25-03-2021,11846018
26-03-2021,11908294
27-03-2021,11970926
28-03-2021,12039132
29-03-2021,12095284
30-03-2021,12148521
31-03-2021,12220634
01-04-2021,12302032
02-04-2021,12391055
03-04-2021,12484049
04-04-2021,12587843
05-04-2021,12684406
06-04-2021,12799718
07-04-2021,12925994
08-04-2021,13057872
09-04-2021,13202817
10-04-2021,13355382
11-04-2021,13525296
12-04-2021,13686134
13-04-2021,13871431
14-04-2021,14071015
15-04-2021,14287843
16-04-2021,14521845
17-04-2021,14782740
18-04-2021,15057803
19-04-2021,15314806
20-04-2021,15609171
21-04-2021,15924923
22-04-2021,16257454
23-04-2021,16602750
24-04-2021,16951746
25-04-2021,17306404
26-04-2021,17625875
27-04-2021,17988788
28-04-2021,18368192
29-04-2021,18754965
30-04-2021,19156979
01-05-2021,19549555
02-05-2021,19919645
03-05-2021,20275414
04-05-2021,20658261
05-05-2021,21070885
06-05-2021,21485165
07-05-2021,21892066
08-05-2021,22295874
09-05-2021,22662329
10-05-2021,22991820
11-05-2021,23340375
12-05-2021,23703007
13-05-2021,24046012
14-05-2021,24372268
15-05-2021,24683025
16-05-2021,24964862
17-05-2021,25227883
18-05-2021,25495129
19-05-2021,25771316
20-05-2021,26030558
21-05-2021,26287857
22-05-2021,26528754
23-05-2021,26751588
24-05-2021,26947445
25-05-2021,27156437
26-05-2021,27367947
27-05-2021,27554022
28-05-2021,27728105
29-05-2021,27893387
30-05-2021,28046783
31-05-2021,28173666
01-06-2021,28306818
02-06-2021,28440862
03-06-2021,28573286
04-06-2021,28693740
05-06-2021,28808228
06-06-2021,28909437
07-06-2021,28995241
08-06-2021,29088028
09-06-2021,29181911
10-06-2021,29273760
11-06-2021,29358334
12-06-2021,29438859
13-06-2021,29509860
14-06-2021,29569868
15-06-2021,29632083
16-06-2021,29699372
17-06-2021,29761808
18-06-2021,29822573
19-06-2021,29881188
20-06-2021,29934166
21-06-2021,29976849
22-06-2021,30027666
23-06-2021,30081975
24-06-2021,30133634
25-06-2021,30182402
26-06-2021,30232246
27-06-2021,30278769
28-06-2021,30315839
29-06-2021,30361943
30-06-2021,30410549
01-07-2021,30457330
02-07-2021,30501517
03-07-2021,30544544
04-07-2021,30584694
05-07-2021,30618720
06-07-2021,30662684
07-07-2021,30708385
08-07-2021,30751889
09-07-2021,30794549
10-07-2021,30836043
11-07-2021,30873697
12-07-2021,30904515
13-07-2021,30944829
